feature,pvalue,tstat
LINGUAL GYRUS left (gm)_vl,0.03731833345157829,-2.1359818255210223
FUSIFORM GYRUS left  (gm)_vl,0.022166627909624644,-2.356690039228881
PARAHIPPOCAMPAL GYRUS left (gm)_vl,0.01444682701817073,-2.529100155746553
ENTORHINAL AREA  (gm)_vl,0.0008537031920677155,-3.5357112396655954
MIDDLE TEMPORAL GYRUS (gm)_vl,0.006036341014192566,-2.860676794980742
MIDDLE FRONTO-ORBITAL GYRUS (gm)_vl,0.049921886288027,-2.00645563031966
INSULAR (gm)_vl,0.04789837749563288,-2.025180931106499
MedialLemniscusLeft_vl,0.023574699265166803,2.3312633583023814
MiddleCerebellarPeduncleLeft_vl,0.045867677303853265,2.0446732130974556
FornixLeft_vl,0.04571708720477019,2.0461482675771756
MEDULLA left_vl,0.04965841636164854,2.008856242396571
MIDDLE FRONTAL GYRUS right (gm)_vl,0.011572687407598647,-2.615711213757439
INFERIOR FRONTAL GYRUS right (gm)_vl,0.04516473000890831,-2.051594992894509
PRECENTRAL GYRUS right (gm)_vl,0.028398094646245483,-2.2533634561816998
POSTCENTRAL GYRUS right (gm)_vl,0.023812587583387956,-2.3271021849694895
CUNEUS right  (gm)_vl,0.006280892922383699,-2.846084048016796
FUSIFORM GYRUS right  (gm)_vl,0.03560938699048185,-2.1564001372806225
SUPERIOR OCCIPITAL GYRUS right  (gm)_vl,0.0075394853589587545,-2.7784084806851936
ENTORHINAL AREA right  (gm)_vl,0.0009319769988555763,-3.506955861174612
SUPERIOR TEMPORAL GYRUS right   (gm)_vl,0.030883277097976416,-2.2177171077760653
INFERIOR TEMPORAL GYRUS right   (gm)_vl,0.019153292701178833,-2.4163627827604635
MIDDLE TEMPORAL GYRUS right   (gm)_vl,0.013010419069721692,-2.5702054255174827
MIDDLE FRONTO-ORBITAL GYRUS right   (gm)_vl,0.019117580771415003,-2.4171192011004448
SUPRAMARGINAL GYRUS right  (gm)_vl,0.03429136825535759,-2.1727434108803267
GYRUS RECTUS right  (gm)_vl,0.028785690153131975,-2.247626637010113
INSULAR right   (gm)_vl,0.016745793901691258,-2.470448963344364
BodyCorpusCallosumRight_vl,0.04820106676213403,-2.022336942448951
THALAMUS right_vl,0.0291957286549371,-2.241631615509719
MEDULLA right_vl,0.002620325972831888,3.1582380139198825
Hypothalamus B left_vl,0.007382781258700662,2.7862393417337548
